Country,CountryCode,Year,IndicatorCode,IndicatorClass,IndicatorLabel,Value
Brazil,BRA,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",8.45598
China,CHN,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.737828
"Hong Kong SAR, China",HKG,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-3.06939
Mexico,MEX,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.037395
Philippines,PHL,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.757208
Poland,POL,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.898502
Thailand,THA,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.654804
"Taiwan, China",TWN,2002,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.194303
Brazil,BRA,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",14.7003
China,CHN,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.126192
"Hong Kong SAR, China",HKG,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-2.57516
Mexico,MEX,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.550558
Philippines,PHL,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.238577
Poland,POL,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.799657
Thailand,THA,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.812782
"Taiwan, China",TWN,2003,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.282339
Brazil,BRA,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.585942
China,CHN,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.831843
"Hong Kong SAR, China",HKG,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.366764
Mexico,MEX,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.694376
Philippines,PHL,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.784043
Poland,POL,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.57799
Thailand,THA,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.813451
"Taiwan, China",TWN,2004,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.601725
Brazil,BRA,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.861845
China,CHN,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.776688
"Hong Kong SAR, China",HKG,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.88855
Mexico,MEX,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.990202
Philippines,PHL,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.655217
Poland,POL,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.11858
Thailand,THA,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.470701
"Taiwan, China",TWN,2005,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.300828
Brazil,BRA,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.185718
China,CHN,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.648073
"Hong Kong SAR, China",HKG,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.013085
Mexico,MEX,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.633336
Philippines,PHL,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.461621
Poland,POL,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.125214
Thailand,THA,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.721429
"Taiwan, China",TWN,2006,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.60677
Brazil,BRA,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.648589
China,CHN,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.820302
"Hong Kong SAR, China",HKG,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.047361
Mexico,MEX,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.969057
Philippines,PHL,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.913857
Poland,POL,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.393081
Thailand,THA,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.172327
"Taiwan, China",TWN,2007,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.799556
Brazil,BRA,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.686051
China,CHN,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.907726
"Hong Kong SAR, China",HKG,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.314721
Mexico,MEX,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.129465
Philippines,PHL,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",8.197329
Poland,POL,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.349254
Thailand,THA,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.476321
"Taiwan, China",TWN,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.53645
Brazil,BRA,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.890975
China,CHN,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.730255
"Hong Kong SAR, China",HKG,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.579307
Mexico,MEX,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.295734
Philippines,PHL,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.239515
Poland,POL,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.820561
Thailand,THA,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.863596
"Taiwan, China",TWN,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.86342
Brazil,BRA,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.039365
China,CHN,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.179627
"Hong Kong SAR, China",HKG,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.292363
Mexico,MEX,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.154822
Philippines,PHL,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.738215
Poland,POL,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.699681
