codeindyr,code,countryname,year,indicator,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper,adb,afr,asd,bps,bti,ccr,ebr,eiu,eqi,frh,gcb,gcs,gii,gwp,her,hum,hrm,ifd,ijt,ipd,irp,lbo,msi,obi,pia,prc,prs,rsf,tpr,vab,vdm,wbs,wcy,wjp,wmo,scalemean,scalesd
BRAcc2002,BRA,Brazil,2002,cc,0.08194231241941452,0.1792251318693161,7,58.73015975952148,50.26454925537109,68.25396728515625,..,..,..,..,..,..,..,0.25,..,..,..,0.5167278597752253,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,0.6666666666666666,..,..,..,0.502825079394162,..,0.2891566265060241,..,0.625,-0.00782076083123684,0.9338262677192688
CHNcc2002,CHN,China,2002,cc,-0.5578975677490234,0.1587192416191101,7,35.97883605957031,25.39682579040527,46.03174591064453,..,..,..,..,..,..,..,0,..,..,..,0.618575354417165,..,..,..,..,..,..,..,..,..,..,..,..,..,0.167,0.1666666666666667,..,..,..,0.49399368695178,..,0.25625,..,0.375,-0.00782076083123684,0.9338262677192688
MEXcc2002,MEX,Mexico,2002,cc,-0.2505722641944885,0.1792251318693161,7,47.61904907226562,36.50793838500977,58.20105743408203,..,..,..,..,..,..,..,0.25,..,..,..,0.4796276440223058,..,..,..,..,..,..,..,..,..,0.39,..,..,..,..,0.3333333333333333,..,..,..,0.44255462806475,..,0.22,..,0.5,-0.00782076083123684,0.9338262677192688
PHLcc2002,PHL,Philippines,2002,cc,-0.5385318994522095,0.1587192416191101,7,37.03703689575195,26.45502662658691,46.03174591064453,..,..,..,..,..,..,..,0.25,..,..,..,0.2738095199068387,..,..,..,..,..,..,..,..,..,..,..,..,..,0.233,0.25,..,..,..,0.297053559366662,..,0.1492063492063492,..,0.375,-0.00782076083123684,0.9338262677192688
POLcc2002,POL,Poland,2002,cc,0.3815136253833771,0.1543621122837067,8,68.78306579589844,60.31745910644531,74.6031723022461,..,..,..,0.7226875879882544,..,..,..,0.5,..,0.75,..,0.4351960768302282,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333333333333,..,..,..,0.836928235356887,..,0.1485714285714286,..,0.75,-0.00782076083123684,0.9338262677192688
THAcc2002,THA,Thailand,2002,cc,-0.338848352432251,0.1587192416191101,7,44.44444274902344,34.39153289794922,52.91005325317383,..,..,..,..,..,..,..,0.25,..,..,..,0.5347282538811365,..,..,..,..,..,..,..,..,..,..,..,..,..,0.125,0.25,..,..,..,0.3240188200906839,..,0.2759493670886076,..,0.5,-0.00782076083123684,0.9338262677192688
BRAge2002,BRA,Brazil,2002,ge,-0.03461534529924393,0.1782690435647964,7,56.21621704101562,45.4054069519043,60.5405387878418,..,..,..,..,0.6296296296296297,..,..,0.25,..,..,..,0.3895833293596903,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,0.5,..,..,..,..,..,0.4416323831913018,..,0.5625,-0.03533634915947914,0.9714682102203369
CHNge2002,CHN,China,2002,ge,-0.1230972036719322,0.1788536012172699,6,52.43243408203125,42.70270156860352,58.91891860961914,..,..,..,..,0.3703703703703704,..,..,0.375,..,..,..,0.3839662472407023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,0.4611979166666667,..,0.5,-0.03533634915947914,0.9714682102203369
MEXge2002,MEX,Mexico,2002,ge,0.2183865457773209,0.1782690435647964,7,60.5405387878418,54.05405426025391,68.10810852050781,..,..,..,..,0.4814814814814815,..,..,0.375,..,..,..,0.3014461199442545,..,..,..,..,..,..,..,..,..,0.19,..,..,..,..,0.75,..,..,..,..,..,0.3655713094245204,..,0.6875,-0.03533634915947914,0.9714682102203369
PHLge2002,PHL,Philippines,2002,ge,-0.1789750605821609,0.1788536012172699,6,51.89189147949219,41.08108139038086,58.91891860961914,..,..,..,..,0.3703703703703703,..,..,0.5,..,..,..,0.2112433711687724,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,0.3266769073220686,..,0.4375,-0.03533634915947914,0.9714682102203369
